subject_id,subject_name,theory_credits,practical_credits,credits,department,is_active
BAS1201,Giải tích 1,3,0,3,Khoa Cơ bản 2,True
BAS1203,Giải tích 2,3,0,3,Khoa Cơ bản 2,True
BAS1204,Đại số,3,0,3,Khoa Cơ bản 2,True
BAS1205,Xác suất thống kê,3,0,3,Khoa Cơ bản 2,True
BAS1226,Vật lý 1,3,0,3,Khoa Cơ bản 2,True
BAS1227,Thực hành Vật lý 1,0,1,1,Khoa Cơ bản 2,True
BAS1151,Triết học Mác - Lênin,3,0,3,Khoa Cơ bản 2,True
BAS1101,Tiếng Anh 1,4,0,4,Khoa Cơ bản 2,True
BAS1102,Tiếng Anh 2,4,0,4,Khoa Cơ bản 2,True
INT1152,Nhập môn lập trình,2,1,3,Khoa CNTT 2,True
INT1154,Lập trình C++,2,1,3,Khoa CNTT 2,True
INT1306,Cấu trúc dữ liệu và giải thuật,2,1,3,Khoa CNTT 2,True
INT1313,Cơ sở dữ liệu,2,1,3,Khoa CNTT 2,True
INT1314,Mạng máy tính,2,1,3,Khoa CNTT 2,True
INT1316,Hệ điều hành,2,1,3,Khoa CNTT 2,True
INT1319,Lập trình hướng đối tượng,2,1,3,Khoa CNTT 2,True
INT1321,Công nghệ phần mềm,2,1,3,Khoa CNTT 2,True
INT1449,Trí tuệ nhân tạo,2,1,3,Khoa CNTT 2,True
INT1332,Lập trình Web,2,1,3,Khoa CNTT 2,True
INT1339,Lập trình thiết bị di động,2,1,3,Khoa CNTT 2,True
INT1406,Nhập môn An toàn thông tin,2,1,3,Khoa CNTT 2,True
INT1333,Mật mã học,2,1,3,Khoa CNTT 2,True
INT1408,An toàn mạng máy tính,2,1,3,Khoa CNTT 2,True
INT1421,Pháp y kỹ thuật số,2,1,3,Khoa CNTT 2,True
TEL1301,Lý thuyết mạch,3,0,3,Khoa Viễn thông 2,True
TEL1305,Tín hiệu và hệ thống,3,0,3,Khoa Viễn thông 2,True
TEL1307,Cơ sở lý thuyết truyền tin,2,1,3,Khoa Viễn thông 2,True
TEL1308,Truyền số liệu,2,1,3,Khoa Viễn thông 2,True
TEL1309,Mạng viễn thông,2,1,3,Khoa Viễn thông 2,True
TEL1401,Thông tin di động,2,1,3,Khoa Viễn thông 2,True
TEL1314,Xử lý tín hiệu số,2,1,3,Khoa Viễn thông 2,True
ELE1303,Cấu kiện điện tử,2,1,3,Khoa Điện tử 2,True
ELE1305,Mạch điện tử 1,2,1,3,Khoa Điện tử 2,True
ELE1307,Kỹ thuật số,2,1,3,Khoa Điện tử 2,True
ELE1309,Vi xử lý,2,1,3,Khoa Điện tử 2,True
ELE1311,Hệ thống nhúng,2,1,3,Khoa Điện tử 2,True
ELE1315,Trường điện từ,3,0,3,Khoa Điện tử 2,True
MUL1301,Nhập môn Đa phương tiện,3,0,3,Khoa Đa phương tiện,True
MUL1302,Kịch bản Đa phương tiện,2,1,3,Khoa Đa phương tiện,True
MUL1305,Đồ họa máy tính,2,1,3,Khoa Đa phương tiện,True
MUL1307,Kỹ thuật Âm thanh và Video,2,1,3,Khoa Đa phương tiện,True
MUL1401,Sản xuất sản phẩm ĐPT,2,1,3,Khoa Đa phương tiện,True
MUL1310,Xử lý ảnh,2,1,3,Khoa Đa phương tiện,True
BAS1107,Kinh tế vi mô,3,0,3,Khoa Quản trị kinh doanh 2,True
BAS1108,Kinh tế vĩ mô,3,0,3,Khoa Quản trị kinh doanh 2,True
BSA1301,Quản trị học,3,0,3,Khoa Quản trị kinh doanh 2,True
BSA1302,Marketing căn bản,3,0,3,Khoa Quản trị kinh doanh 2,True
BSA1303,Kế toán tài chính,3,0,3,Khoa Quản trị kinh doanh 2,True
BSA1304,Thương mại điện tử căn bản,2,1,3,Khoa Quản trị kinh doanh 2,True
BSA1415,Hành vi người tiêu dùng,3,0,3,Khoa Quản trị kinh doanh 2,True
